,iid,intr_corr_0,pos_corr_0.5,pos_corr_1.5,seed,images,_runtime,_timestamp,_step,lr-Adam,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss,_wandb
26,0.75,0.25,,,5.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",100775,1637149947,143999,7.371397180910154e-05,0.002053178148344159,399,0.9086524844169617,-0.02390638180077076,0.4337252974510193,-0.11346394568681717,-0.09125471115112305,-0.06245233863592148,-0.014957144856452942,0.1380053162574768,-0.004694640636444092,0.0038732588291168213,0.001989603042602539,0.0012445449829101562,-0.014503419399261475,0.002526909112930298,-0.007568418979644775,0.1929447054862976,0.18017280101776123,0.07660660147666931,0.09379511326551437,0.16895443201065063,0.07413884252309799,0.16218414902687073,0.07319208234548569,0.04896542802453041,0.006272302474826574,0.06960801780223846,0.031062236055731773,0.00045429961755871773,0.0016422281041741371,0.0002229720848845318,0.0004771022067870945,0.19444243609905243,0.11005064100027084,0.14591659605503082,0.06795726716518402,0.0450701080262661,0.04229019582271576,0.04913872107863426,0.13002590835094452,0.009433404542505741,0.009483687579631805,0.0515013262629509,0.022064464166760445,0.0002657973382156342,0.0009510311065241694,0.0002663243794813752,0.00037823052844032645,{'runtime': 100775}
27,0.5,0.5,,,5.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",99364,1637148536,143999,7.371397180910154e-05,0.0027256570756435394,399,0.9453756213188171,-0.015267151407897472,0.5468056797981262,-0.14734582602977753,-0.12281312048435211,-0.08417920023202896,-0.046127621084451675,0.18696336448192596,-0.003208339214324951,0.007069319486618042,0.009317010641098022,0.009203165769577026,-0.0018579363822937012,0.0011880993843078613,-0.0025568604469299316,0.19438201189041138,0.17056110501289368,0.06223858892917633,0.07403767108917236,0.18162862956523895,0.08152137696743011,0.13937367498874664,0.0764705166220665,0.049027226865291595,0.010231937281787395,0.054638709872961044,0.028039872646331787,0.00041642531869001687,0.0014180808793753386,0.0001211832495755516,0.00034831787343136966,0.1993432641029358,0.10535497218370438,0.11772242188453674,0.057264283299446106,0.0480923168361187,0.047571297734975815,0.039953190833330154,0.10803188383579254,0.007641790434718132,0.01190950721502304,0.037551477551460266,0.019775401800870895,0.00025381948216818273,0.0008163210586644709,0.00018271766020916402,0.00034841688466258347,{'runtime': 99363}
28,0.25,0.75,,,5.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",102868,1637152041,143999,7.371397180910154e-05,0.0016206307336688042,399,0.9584861993789673,0.038548946380615234,0.5743628740310669,-0.18216010928153992,-0.1533607542514801,-0.1206798404455185,-0.08788871765136719,0.24363693594932556,0.005002737045288086,0.0068926215171813965,0.0018990933895111084,-0.001772552728652954,0.0027115345001220703,0.0009382069110870361,0.005140542984008789,0.18308046460151672,0.16508784890174866,0.07979312539100647,0.07503307610750198,0.18312251567840576,0.10018153488636017,0.1457560658454895,0.0785517543554306,0.049877870827913284,0.013268603943288326,0.050712645053863525,0.026446931064128876,0.000394104776205495,0.0012461880687624216,0.00014602307055611163,0.0004364091728348285,0.1941853016614914,0.10296008735895157,0.13077649474143982,0.056460510939359665,0.0495448037981987,0.05394606292247772,0.04524637758731842,0.09466960281133652,0.008642086759209633,0.014149936847388744,0.035307157784700394,0.01738630421459675,0.000246381270699203,0.000744312594179064,0.00022268066823016852,0.0004046219401061535,{'runtime': 102867}
29,0.75,0.25,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",104582,1637153744,143999,7.371397180910154e-05,0.00142773799598217,399,0.9542121887207031,0.06628759205341339,0.5882580280303955,-0.1832011193037033,-0.15651926398277283,-0.12635275721549988,-0.09895314276218414,0.272786021232605,-0.00794219970703125,0.002352207899093628,0.006281733512878418,0.003413558006286621,-0.008712589740753174,-0.006622195243835449,-0.0042372941970825195,0.16615843772888184,0.1437314748764038,0.06808146089315414,0.05983663722872734,0.18868198990821838,0.08638931810855865,0.13052257895469666,0.04623181000351906,0.051437266170978546,0.01513497531414032,0.046691861003637314,0.021917195990681648,0.00036412544432096183,0.0009583691717125475,0.00012750645691994578,0.00038155485526658595,0.18590869009494781,0.09153633564710617,0.12046763300895691,0.04601051285862923,0.05311526358127594,0.050001051276922226,0.04818039759993553,0.06458744406700134,0.01048817578703165,0.017894715070724487,0.030989501625299454,0.015324261039495468,0.00025944909430108964,0.0006099449237808585,0.00020807092369068414,0.0003833438386209309,{'runtime': 104581}
30,0.5,0.5,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",104460,1637153616,143999,7.371397180910154e-05,0.0030517512932419777,399,0.9037811756134033,-0.00715880049392581,0.3254256844520569,-0.08158144354820251,-0.06628881394863129,-0.03206551820039749,0.0029121965635567904,0.1129508838057518,-0.0008374452590942383,0.0054946839809417725,-0.006314098834991455,-0.0005641281604766846,-0.0044602155685424805,0.004350870847702026,-4.807114601135254e-05,0.3001585900783539,0.30749213695526123,0.09749901294708252,0.10940214991569519,0.14326035976409912,0.08482450991868973,0.08146698772907257,0.03872370347380638,0.04151107370853424,0.006497144233435392,0.03573616221547127,0.013172820210456848,0.0004386126820463687,0.0014731606934219599,0.00018495174299459904,0.0005410862504504621,0.24652786552906036,0.1881662756204605,0.10879919677972794,0.0655059665441513,0.04047606885433197,0.044925495982170105,0.021234160289168358,0.061778225004673004,0.012554860673844814,0.008415518328547478,0.025223568081855774,0.010603542439639568,0.0002639890881255269,0.000857846753206104,0.0001522215170552954,0.00032201572321355343,{'runtime': 104460}
31,0.25,0.75,,,6.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",90482,1637139701,143999,7.371397180910154e-05,0.0027026734314858913,399,0.9142376184463501,-0.012406466528773308,0.49190762639045715,-0.12715980410575867,-0.11567419767379761,-0.07886949181556702,-0.03767535462975502,0.1692829132080078,0.008458584547042847,-0.0057118237018585205,-0.005669355392456055,-0.005541622638702393,0.003937423229217529,-0.006083071231842041,-0.0002936422824859619,0.2001650333404541,0.17334964871406555,0.059920575469732285,0.07762656360864639,0.14570824801921844,0.05440490320324898,0.11774548888206482,0.04566774144768715,0.0482136495411396,0.005225007422268391,0.047657158225774765,0.02034987322986126,0.0004695592215284705,0.0014307330129668117,0.00013217274681665003,0.00045825951383449137,0.1886371225118637,0.10551823675632477,0.10143368691205978,0.050895653665065765,0.0348820798099041,0.03250905126333237,0.036781057715415955,0.08788503706455231,0.008483110927045345,0.004907799884676933,0.036240071058273315,0.014354915358126163,0.00024793887860141695,0.0008380538783967495,0.00016666573355905712,0.0002915961085818708,{'runtime': 90481}
32,0.75,0.25,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",104997,1637154157,143999,7.371397180910154e-05,0.0012845040764659643,399,0.9271923303604126,0.01097708847373724,0.5257595777511597,-0.15978848934173584,-0.13645780086517334,-0.09244157373905182,-0.05817244201898575,0.20196214318275452,-0.0003261864185333252,0.009597212076187134,-0.0014309883117675781,0.0028428733348846436,0.0010643303394317627,-0.007862061262130737,-0.008941054344177246,0.21762335300445557,0.18155299127101898,0.05624496936798096,0.0746772438287735,0.17712433636188507,0.10037806630134583,0.126887708902359,0.053193334490060806,0.04905271530151367,0.0127447210252285,0.0511879026889801,0.024944471195340157,0.00044237470137886703,0.0014444326516240835,0.00012909046199638397,0.00037784117739647627,0.21175140142440796,0.11216531693935394,0.11285173892974854,0.05627000331878662,0.045345488935709,0.05494986101984978,0.04121505841612816,0.08907750993967056,0.008377685211598873,0.013808169402182102,0.03482857719063759,0.019229162484407425,0.0002572850207798183,0.0008438442018814385,0.00017415834008716047,0.00034078574390150607,{'runtime': 104996}
33,0.5,0.5,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",106289,1637155463,143999,7.371397180910154e-05,0.0023699442390352488,399,0.9611320495605469,0.06359130144119263,0.5787120461463928,-0.16330836713314056,-0.13828666508197784,-0.11011019349098206,-0.07422512024641037,0.26691627502441406,-0.010825276374816895,-0.004006445407867432,0.007141232490539551,0.0059573352336883545,-0.007077157497406006,0.0005688369274139404,-0.0019359588623046875,0.1468699723482132,0.13638801872730255,0.049873385578393936,0.05088789016008377,0.19067566096782684,0.07626509666442871,0.12061493843793869,0.037653736770153046,0.05276621878147125,0.014483598060905933,0.04804603382945061,0.017852483317255974,0.00036775038461200893,0.0009588418179191649,0.0001133563564508222,0.0003813476942013949,0.17982527613639832,0.08316318690776825,0.1090821623802185,0.03797243535518646,0.05327431485056877,0.0472814217209816,0.04728788509964943,0.07196521759033203,0.008043034002184868,0.016638562083244324,0.031304389238357544,0.012015526182949543,0.00025195308262482285,0.0005552670918405056,0.00020322753698565066,0.0003152843564748764,{'runtime': 106289}
34,0.25,0.75,,,7.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",88027,1637137195,143999,7.371397180910154e-05,0.0017710572574287653,399,0.9594758152961731,0.09218500554561615,0.6152695417404175,-0.19204914569854736,-0.1683129370212555,-0.1447116732597351,-0.11696875095367432,0.3050724267959595,0.004970073699951172,-0.01300579309463501,-0.0046353936195373535,-0.0007493793964385986,0.010897904634475708,0.002697199583053589,-0.003890812397003174,0.13925670087337494,0.11827176809310913,0.056154489517211914,0.044552017003297806,0.18532612919807434,0.07393524795770645,0.11318152397871017,0.030715158209204674,0.05344906076788902,0.019946293905377388,0.043540965765714645,0.01337593887001276,0.0003493100230116397,0.000810718338470906,0.00012039251305395737,0.0003288371372036636,0.17111217975616455,0.07324802875518799,0.10519401729106903,0.03220150247216225,0.050148461014032364,0.045843303203582764,0.04532356187701225,0.05455568805336952,0.00960608385503292,0.021450165659189224,0.028152352198958397,0.009035840630531311,0.0002480513940099627,0.00048783302190713584,0.00019815099949482828,0.00027468428015708923,{'runtime': 88027}
35,0.75,0.25,,,11.0,"{'_type': 'images/separated', 'width': 1172, 'height': 652, 'format': 'png', 'count': 1}",90372,1637139540,143999,7.371397180910154e-05,0.001472180592827499,399,0.9065165519714355,-0.005808258429169655,0.44086551666259766,-0.11584917455911636,-0.09507755935192108,-0.06545288860797882,-0.02848721295595169,0.15631990134716034,-0.0017673969268798828,0.0007123351097106934,-0.00045746564865112305,0.0013418197631835938,-0.003411591053009033,0.0069107115268707275,0.005688697099685669,0.26963984966278076,0.25936225056648254,0.09638894349336624,0.11740607023239136,0.15576285123825073,0.08808919787406921,0.13031935691833496,0.04919354245066643,0.04461302608251572,0.009596597403287888,0.05538710951805115,0.022244594991207123,0.0004225917218718678,0.0013581269886344671,0.00018702579836826771,0.000505059608258307,0.23779462277889252,0.16199731826782227,0.1444946825504303,0.07702802866697311,0.04098154604434967,0.04602782800793648,0.038684096187353134,0.0912371277809143,0.0115263806656003,0.010562757961452007,0.035868722945451736,0.01812150329351425,0.00025673225172795355,0.000851455784868449,0.00020323948410805315,0.00036874492070637643,{'runtime': 90371}
