,Unnamed: 0,Unnamed: 0.1,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss,_wandb
0,0.0,0.0,1.0,,,,,,,,,,,,,,5.0,0.008994985371828,499.0,0.7000958919525146,0.0116548389196395,0.473235160112381,-0.1476793885231018,-0.1251021325588226,-0.0976240411400795,-0.0909906327724456,0.183382973074913,-0.016483724117279,0.0016004741191864,-0.0041127800941467,-0.0037686824798583,0.0048140287399291,0.0063789784908294,-0.0008364021778106,0.2684208452701568,0.2570951282978058,0.1305678188800811,0.1590062081813812,0.1423526257276535,0.0717223063111305,0.2005318254232406,0.0626262351870536,0.0358286798000335,0.0067208209075033,0.0694958791136741,0.0238349456340074,0.0003838030679617,0.0011397306807339,0.0001910412247525,0.0005916696973145,0.2286567687988281,0.1519618779420852,0.2001881152391433,0.0966386720538139,0.043301660567522,0.051225796341896,0.0698117762804031,0.1222034320235252,0.0118112545460462,0.0070240427739918,0.0437422804534435,0.0217330250889062,0.0002339053899049,0.0006809663609601,0.000283621426206,0.0004370470414869,{'runtime': 16132}
1,0.0,,1.0,,,,,,,,,,,,,,5.0,0.008994985371828,499.0,0.7000958919525146,0.0116548389196395,0.473235160112381,-0.1476793885231018,-0.1251021325588226,-0.0976240411400795,-0.0909906327724456,0.183382973074913,-0.016483724117279,0.0016004741191864,-0.0041127800941467,-0.0037686824798583,0.0048140287399291,0.0063789784908294,-0.0008364021778106,0.2684208452701568,0.2570951282978058,0.1305678188800811,0.1590062081813812,0.1423526257276535,0.0717223063111305,0.2005318254232406,0.0626262351870536,0.0358286798000335,0.0067208209075033,0.0694958791136741,0.0238349456340074,0.0003838030679617,0.0011397306807339,0.0001910412247525,0.0005916696973145,0.2286567687988281,0.1519618779420852,0.2001881152391433,0.0966386720538139,0.043301660567522,0.051225796341896,0.0698117762804031,0.1222034320235252,0.0118112545460462,0.0070240427739918,0.0437422804534435,0.0217330250889062,0.0002339053899049,0.0006809663609601,0.000283621426206,0.0004370470414869,{'runtime': 16132}
0,,,1.0,,,,,,,,,,,,,,5.0,0.00899498537182808,499.0,0.7000958919525146,0.011654838919639587,0.473235160112381,-0.1476793885231018,-0.12510213255882263,-0.0976240411400795,-0.09099063277244568,0.18338297307491302,-0.016483724117279053,0.0016004741191864014,-0.0041127800941467285,-0.0037686824798583984,0.004814028739929199,0.006378978490829468,-0.0008364021778106689,0.26842084527015686,0.2570951282978058,0.13056781888008118,0.15900620818138123,0.1423526257276535,0.07172230631113052,0.20053182542324066,0.06262623518705368,0.03582867980003357,0.0067208209075033665,0.06949587911367416,0.023834945634007454,0.0003838030679617077,0.0011397306807339191,0.0001910412247525528,0.0005916696973145008,0.22865676879882812,0.15196187794208527,0.20018811523914337,0.09663867205381393,0.04330166056752205,0.05122579634189606,0.06981177628040314,0.12220343202352524,0.011811254546046257,0.007024042773991823,0.04374228045344353,0.021733025088906288,0.0002339053899049759,0.0006809663609601557,0.0002836214262060821,0.00043704704148694873,{'runtime': 16132}
1,,,1.0,,,,,,,,,,,,,,6.0,0.008425157517194748,499.0,0.5620304346084595,0.06725996732711792,0.472682923078537,-0.1679837703704834,-0.12685969471931458,-0.1123071238398552,-0.11416800320148468,0.23128026723861694,0.0004864633083343506,0.0015350282192230225,-0.004775732755661011,-0.0016772449016571045,0.006590455770492554,0.0009314119815826416,0.008162498474121094,0.2705651819705963,0.23083989322185516,0.1385979801416397,0.15911853313446045,0.15743206441402435,0.07630583643913269,0.2250322550535202,0.07838290929794312,0.032540228217840195,0.008807612583041191,0.06379350274801254,0.013649128377437592,0.00039817087235860527,0.0011098099639639258,0.00020853047317359596,0.0005213352269493043,0.23179198801517487,0.1359468698501587,0.18308983743190765,0.08577142655849457,0.055108290165662766,0.05784126743674278,0.08495523035526276,0.09236179292201996,0.011037318967282772,0.007063012104481459,0.038547683507204056,0.01267426460981369,0.0002492044004611671,0.0006840796559117734,0.00024210239644162357,0.0003235269396100193,{'runtime': 16067}
2,,,1.0,,,,,,,,,,,,,,7.0,0.008535700850188732,499.0,0.7750999927520752,0.041218891739845276,0.5247726440429688,-0.1793871372938156,-0.14091196656227112,-0.12237819284200668,-0.11708429455757141,0.22780096530914307,-0.004045248031616211,-0.007464051246643066,0.004776179790496826,0.0017910599708557129,-1.290440559387207e-05,0.0002517998218536377,0.00030562281608581543,0.22665104269981384,0.18608802556991577,0.11410477012395859,0.10607843846082687,0.145734503865242,0.07390027493238449,0.14883916079998016,0.06298016011714935,0.034734487533569336,0.01225066278129816,0.05141516402363777,0.027054671198129654,0.0003741983382496983,0.001022328739054501,0.00015500384324695915,0.00046130045666359365,0.2022627741098404,0.11030658334493637,0.15837901830673218,0.07084445655345917,0.040350452065467834,0.05075753107666969,0.062113698571920395,0.09937326610088348,0.006092938594520092,0.009616593830287457,0.033035848289728165,0.02137204259634018,0.00023703256738372147,0.000614522083196789,0.0002358997007831931,0.00040692821494303644,{'runtime': 14823}
3,,,1.0,,,,,,,,,,,,,,11.0,0.007691865786910057,499.0,0.6414018869400024,0.0766059011220932,0.5668594241142273,-0.21413809061050415,-0.15415900945663452,-0.1452578604221344,-0.1419999599456787,0.27389687299728394,-0.006226062774658203,0.0005997121334075928,0.004630178213119507,0.003041476011276245,0.006948620080947876,-0.0017130076885223389,-0.005061924457550049,0.27573394775390625,0.24129004776477814,0.1414484679698944,0.1636292040348053,0.17424120008945465,0.08083044737577438,0.21277804672718048,0.08613719791173935,0.03827532380819321,0.008068302646279335,0.05922892317175865,0.01738998480141163,0.0003997877356596291,0.0012062612222507596,0.00020326481899246573,0.0006581262568943202,0.23682084679603577,0.1433003842830658,0.175877183675766,0.08861701935529709,0.06018458679318428,0.05783417448401451,0.07782923430204391,0.09601987153291702,0.011867477558553219,0.008858875371515751,0.03579429164528847,0.016246255487203598,0.0002630600647535175,0.0007563126273453236,0.00023891456658020616,0.0004470212443266064,{'runtime': 15173}
4,,,1.0,,,,,,,,,,,,,,13.0,0.01983625441789627,499.0,0.002279111184179783,0.027404410764575005,0.028183598071336746,-0.026172233745455742,-0.008894634433090687,-0.021501563489437103,-0.02365924045443535,0.0341726653277874,-0.00787210464477539,0.0019018948078155518,-0.0018639564514160156,-0.00021320581436157227,-0.018966257572174072,-0.00783628225326538,0.004723280668258667,0.05092964321374893,0.05266313627362251,0.05249594524502754,0.04516913741827011,0.009695141576230526,0.00792870856821537,0.025411024689674377,0.02087084949016571,0.00043191714212298393,-0.0002587407361716032,-0.0017325974768027663,-0.00027035409584641457,0.0002609036164358258,0.0007696167449466884,0.00010908671538345516,0.00026405201060697436,0.030152728781104088,0.02980445697903633,0.03295660391449928,0.025708934292197227,0.005262098275125027,0.006055890582501888,0.007781646680086851,0.008519775234162807,0.0005086600431241095,0.0007701233262196183,0.0003280392847955227,0.000991408945992589,0.00017184413445647806,0.0005049525061622262,7.506684050895274e-05,0.00014908389130141586,{'runtime': 16390}
5,,,,1.0,,,,,,,,,,,,,0.0,0.007468101568520069,499.0,0.7701103091239929,-0.01645481213927269,0.4823828339576721,-0.15201157331466675,-0.11904887855052948,-0.0869523137807846,-0.06124531477689743,0.16230365633964539,0.013129264116287231,0.004268914461135864,0.0049224793910980225,0.005621731281280518,0.0003757178783416748,-0.002282381057739258,-0.0014279186725616455,0.17472536861896515,0.14694266021251678,0.07825479656457901,0.09062080830335617,0.14711540937423706,0.07025580108165741,0.1661699116230011,0.05104382336139679,0.038306135684251785,0.012698984704911709,0.06692352890968323,0.028718601912260056,0.0003664521500468254,0.0010159644298255444,0.00013441160263027996,0.0005128341144882143,0.17597274482250214,0.08834857493638992,0.16019703447818756,0.06515410542488098,0.038830261677503586,0.0472848080098629,0.06203383579850197,0.12859292328357697,0.008290170691907406,0.013098063878715038,0.04332569241523743,0.02604898251593113,0.00022115306637715548,0.0005809058784507215,0.00027753825997933745,0.0004607286537066102,{'runtime': 14891}
6,,,,1.0,,,,,,,,,,,,,5.0,0.006657769903540611,499.0,0.7639583349227905,0.008731411769986153,0.5046521425247192,-0.16620013117790222,-0.12588950991630554,-0.10909715294837952,-0.09314001351594925,0.1923249214887619,-0.0024914145469665527,0.0017357468605041504,-0.001917123794555664,-0.0035951733589172363,-0.0027728378772735596,-0.0006549358367919922,0.0007325112819671631,0.2730684280395508,0.2682778239250183,0.12553875148296356,0.15384308993816376,0.14324721693992615,0.07170339673757553,0.1865742951631546,0.06719429045915604,0.03823090344667435,0.003947076853364706,0.06291069090366364,0.023384882137179375,0.0003813265939243138,0.0011344962986186147,0.00016345192852895707,0.0005505772423930466,0.23315326869487762,0.16022653877735138,0.18554863333702087,0.09412608295679092,0.042155683040618896,0.050212305039167404,0.06836597621440887,0.10657354444265366,0.011998355388641357,0.004919523373246193,0.03825457766652107,0.020942572504281998,0.00023438144125975668,0.0006826791213825345,0.0002595355035737157,0.000437546317698434,{'runtime': 14872}
7,,,,1.0,,,,,,,,,,,,,6.0,0.008609321899712086,499.0,0.24987491965293884,0.11875833570957184,0.48056894540786743,-0.21553605794906616,-0.15436814725399017,-0.1414170265197754,-0.15618914365768433,0.2788458466529846,0.004779458045959473,-0.0025731027126312256,0.005326896905899048,0.004536718130111694,0.0025326013565063477,-0.0005379319190979004,-0.0028822124004364014,0.28193169832229614,0.2143966108560562,0.17589981853961945,0.20055127143859863,0.1751013845205307,0.0729956105351448,0.2761651873588562,0.08621697872877121,0.033495333045721054,0.009494590573012829,0.08271437138319016,0.012360844761133194,0.0004375214921310544,0.001127984607592225,0.0002644530322868377,0.0007624996942467988,0.24316847324371338,0.127696692943573,0.22456470131874084,0.1157303899526596,0.06183413416147232,0.05184481665492058,0.09859123080968857,0.07271920889616013,0.011097378097474575,0.008561157621443272,0.046499159187078476,0.011777150444686413,0.0002752873406279832,0.0006766528240405023,0.00023231860541272908,0.00046881294110789895,{'runtime': 14240}
