,Unnamed: 0,iid,intr_corr_0,pos_corr_0.5,pos_corr_1.5,seed,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss
29,,0.25,0.75,,,5.0,0.0,0.9602,0.1586,0.6021,-0.3516,-0.3306,-0.2198,-0.2309,0.3536,-0.0101,-0.0062,-0.0029,-0.0058,-0.0023,-0.0172,-0.0176,0.2469,0.1432,0.0714,0.06,0.1706,0.0876,0.0842,0.0458,0.0212,0.0169,0.0072,0.0218,0.0003,0.0009,0.0001,0.0004,0.2406,0.0907,0.1237,0.046,0.0232,0.0508,0.0074,0.0651,0.0033,0.0196,0.0093,0.0154,0.0002,0.0006,0.0001,0.0004
30,,0.75,0.25,,,6.0,0.0,0.9146,-0.0227,0.2261,-0.1006,-0.1125,-0.0631,0.0757,0.0686,0.1187,0.0861,-0.0118,0.0624,0.0524,0.1144,-0.0191,0.3062,0.3075,0.0726,0.1102,0.1299,0.0839,0.0343,0.0384,0.0168,0.0064,0.0032,0.0112,0.0004,0.0015,9.999e-05,0.0005,0.262,0.1878,0.074,0.0658,0.0157,0.0451,0.0017,0.061,0.003,0.0087,0.0042,0.0097,0.0002,0.0009,6.3483e-05,0.0003
31,,0.5,0.5,,,6.0,0.0,0.9018,0.0112,0.4647,-0.1844,-0.1683,-0.0806,-0.0235,0.1833,-0.0361,-0.0212,0.1106,0.0346,-0.0009,0.045,-0.0505,0.2267,0.1743,0.0691,0.0775,0.148,0.0542,0.0586,0.0457,0.0177,0.003,0.0011,0.0206,0.0004,0.0014,0.0001,0.0004,0.2198,0.1062,0.0894,0.0507,0.0198,0.0328,0.004,0.0888,0.0006,0.004,0.0069,0.0147,0.0002,0.0008,8.7375e-05,0.0003
32,,0.25,0.75,,,6.0,0.0,0.9269,0.0536,0.4375,-0.1424,-0.2006,-0.0785,-0.0653,0.2014,-0.0709,-0.0368,-0.0692,0.0053,0.0554,0.091,0.0483,0.2483,0.1815,0.0542,0.0747,0.1678,0.0965,0.0651,0.0529,0.0227,0.014,0.0053,0.0244,0.0004,0.0014,8.5555e-05,0.0004,0.2435,0.1122,0.0974,0.0565,0.0219,0.055,0.0051,0.0891,0.0023,0.014,0.0077,0.0189,0.0002,0.0008,8.3652e-05,0.0003
33,,0.75,0.25,,,7.0,0.0,0.9692,0.1772,0.5571,-0.2046,-0.2558,-0.1941,-0.1492,0.3502,-0.0743,0.04,-0.0067,-0.0184,-0.01,-0.082,0.0232,0.2349,0.1394,0.058,0.0509,0.1747,0.0748,0.0737,0.0382,0.0216,0.0108,0.0071,0.0174,0.0003,0.001,9.4603e-05,0.0004,0.2402,0.0851,0.1141,0.038,0.023,0.0463,0.0062,0.0718,0.0032,0.0147,0.0092,0.0119,0.0002,0.0006,9.8732e-05,0.0003
34,,0.5,0.5,,,7.0,0.0,0.9691,0.2303,0.7001,-0.353,-0.3419,-0.2961,-0.2832,0.448,0.0712,0.1245,0.0742,0.1024,0.0247,0.0488,-0.0907,0.2329,0.1187,0.0664,0.0445,0.1733,0.0726,0.0727,0.0307,0.0238,0.0199,0.0072,0.0132,0.0003,0.0008,9.8137e-05,0.0003,0.2351,0.0734,0.1177,0.0322,0.0232,0.0451,0.0072,0.0556,0.004,0.0211,0.0095,0.0089,0.0002,0.0005,0.0001,0.0003
35,,0.25,0.75,,,7.0,0.0,0.9327,0.1628,0.4246,-0.2381,-0.2256,-0.2384,-0.1833,0.2983,-0.0021,0.0499,0.0022,0.0323,-0.0322,-0.019,-0.0398,0.3222,0.2577,0.1017,0.117,0.1149,0.091,0.0557,0.049,0.0119,0.01,0.004,0.0227,0.0004,0.0014,0.0002,0.0005,0.2672,0.1609,0.1186,0.077,0.013,0.0485,0.0048,0.0915,0.0032,0.0115,0.0054,0.0181,0.0002,0.0009,0.0001,0.0004
37,,0.5,0.5,,,11.0,0.0,0.9102,0.0892,0.3927,-0.2373,-0.1964,-0.2082,-0.1648,0.2278,0.0265,-0.0605,-0.005,-0.0098,0.0143,-0.0041,0.0533,0.2196,0.1378,0.0534,0.0772,0.124,0.0594,0.0534,0.0382,0.0133,0.0079,0.0045,0.018,0.0004,0.0013,8.5502e-05,0.0005,0.2031,0.0829,0.0869,0.0499,0.015,0.0378,0.0031,0.089,0.0008,0.0064,0.0067,0.0146,0.0002,0.0007,8.4208e-05,0.0003
38,,0.25,0.75,,,11.0,0.0,0.9527,0.0153,0.5389,-0.3155,-0.2461,-0.2162,-0.1776,0.2133,-0.0146,0.0031,0.0191,-0.0383,0.0174,-0.0301,0.0385,0.2202,0.1425,0.0529,0.0749,0.1705,0.0988,0.062,0.0505,0.0221,0.0112,0.0057,0.0277,0.0004,0.0014,8.5347e-05,0.0004,0.2258,0.0906,0.103,0.0578,0.0227,0.0567,0.0046,0.1184,0.0026,0.0105,0.0083,0.0204,0.0002,0.0009,8.7034e-05,0.0004
40,,0.5,0.5,,,13.0,0.0,0.9005,0.0695,0.4492,-0.2031,-0.124,-0.0763,-0.0399,0.2289,0.0463,0.0023,0.0529,-0.0229,0.0434,0.0072,0.0284,0.2539,0.1711,0.0658,0.0942,0.1638,0.1195,0.0717,0.0624,0.0206,0.019,0.0066,0.033,0.0004,0.0015,0.0001,0.0005,0.2433,0.1076,0.1174,0.0712,0.0218,0.0665,0.0063,0.1254,0.0031,0.0154,0.0091,0.0249,0.0002,0.0009,0.0001,0.0004
41,,0.25,0.75,,,13.0,0.0,0.9575,0.1843,0.5672,-0.2806,-0.2309,-0.1972,-0.1732,0.3688,-0.0022,-0.042,-0.0269,0.019,-0.0656,-0.0305,-0.0015,0.2486,0.1377,0.07,0.0512,0.1591,0.0774,0.073,0.0387,0.021,0.0202,0.0072,0.0214,0.0003,0.0009,0.0001,0.0004,0.2351,0.0873,0.1202,0.041,0.0234,0.0463,0.0063,0.0648,0.0044,0.0201,0.0095,0.0147,0.0002,0.0006,0.0001,0.0004
60,,0.75,,,0.25,0.0,0.0,0.9545,0.1424,0.5434,-0.2841,-0.2909,-0.2194,-0.1547,0.3238,-0.1056,-0.0363,-0.0794,0.008,0.0181,-0.0373,-0.0241,0.2479,0.1249,0.0683,0.0431,0.1711,0.0731,0.0656,0.0258,0.025,0.0167,0.0063,0.0127,0.0003,0.0009,9.2394e-05,0.0003,0.2465,0.0767,0.1148,0.0305,0.024,0.0445,0.0051,0.0559,0.0054,0.0173,0.009,0.0086,0.0002,0.0005,9.7618e-05,0.0002
61,,0.5,,,0.5,0.0,0.0,0.892,0.1475,0.4481,-0.2068,-0.2116,-0.1276,-0.1066,0.2875,-0.025,0.0803,0.0184,-0.0843,-0.018,-0.1118,-0.0016,0.2383,0.2,0.0616,0.0809,0.1414,0.069,0.0522,0.048,0.0155,0.0092,0.0048,0.0247,0.0004,0.0016,9.4572e-05,0.0004,0.2209,0.1219,0.0911,0.0561,0.0193,0.0419,0.0033,0.0956,0.001,0.0086,0.0064,0.0178,0.0002,0.0009,8.1998e-05,0.0003
62,,0.25,,,0.75,0.0,0.0,0.9502,-0.0198,0.4763,-0.2431,-0.2164,-0.1713,-0.1425,0.1601,0.0121,0.0519,0.0317,-0.0232,-0.0667,0.0539,-0.0108,0.2489,0.191,0.0801,0.0961,0.1703,0.1191,0.0977,0.1253,0.0215,0.0139,0.0073,0.0392,0.0004,0.0016,0.0001,0.0005,0.2365,0.121,0.124,0.0742,0.0273,0.0659,0.0067,0.1383,0.0035,0.0144,0.0088,0.0262,0.0002,0.001,9.8784e-05,0.0004
63,,0.75,,,0.25,5.0,0.0,0.0497,0.3686,0.5786,-0.3473,-0.3397,-0.3047,-0.3582,0.5253,-0.0426,0.0689,-0.0317,-0.0251,0.0908,-0.0374,0.0088,0.2858,0.1393,0.1472,0.1264,0.1523,0.0997,0.1129,0.1171,0.0203,0.0064,0.011,-0.0004,0.0003,0.0011,0.0002,0.0007,0.2535,0.0826,0.161,0.0769,0.0258,0.0658,0.0102,0.073,0.0031,0.0078,0.0063,0.0081,0.0002,0.0007,0.0001,0.0005
64,,0.5,,,0.5,5.0,0.0,0.0332,0.3134,0.6844,-0.4185,-0.3889,-0.3571,-0.3929,0.515,0.0214,-0.0381,-0.0803,-0.0654,0.0087,-0.0406,0.0652,0.3128,0.1884,0.1617,0.0905,0.1244,0.0995,0.0869,0.0724,0.0175,0.0112,0.0079,0.01,0.0003,0.001,0.0002,0.0005,0.2585,0.1134,0.1506,0.0539,0.0194,0.0563,0.0059,0.0557,0.0055,0.0089,0.0038,0.0073,0.0002,0.0007,0.0001,0.0003
