,iid,shape_0,size_0,color_0,material_0,appr_corr_0,material_0shape_0,shape_0color_0,size_0material_0,material_0shape_0color_0,size_0material_0color_0,size_0material_0shape_0,size_0shape_0color_0,intr_corr_0,seed,loss,epoch,avg_ari_mask,corr_coef_disc,corr_coef_pos,corr_coef_size,corr_coef_material,corr_coef_shape,corr_coef_color,corr_coef,corr_rank_disc,corr_rank_pos,corr_rank_size,corr_rank_material,corr_rank_shape,corr_rank_color,corr_rank,avg_obj_greedy_loss_nodup,avg_attr_greedy_loss_nodup,avg_obj_pseudo_greedy_loss,avg_attr_pseudo_greedy_loss,avg_obj_greedy_loss_nodup_en,avg_attr_greedy_loss_nodup_en,avg_obj_pseudo_greedy_loss_en,avg_attr_pseudo_greedy_loss_en,avg_obj_greedy_loss_nodup_hn,avg_attr_greedy_loss_nodup_hn,avg_obj_pseudo_greedy_loss_hn,avg_attr_pseudo_greedy_loss_hn,std_obj_greedy_loss_nodup,std_attr_greedy_loss_nodup,std_obj_pseudo_greedy_loss,std_attr_pseudo_greedy_loss,avg_obj_greedy_cos_loss_nodup,avg_attr_greedy_cos_loss_nodup,avg_obj_pseudo_greedy_cos_loss,avg_attr_pseudo_greedy_cos_loss,avg_obj_greedy_cos_loss_nodup_en,avg_attr_greedy_cos_loss_nodup_en,avg_obj_pseudo_greedy_cos_loss_en,avg_attr_pseudo_greedy_cos_loss_en,avg_obj_greedy_cos_loss_nodup_hn,avg_attr_greedy_cos_loss_nodup_hn,avg_obj_pseudo_greedy_cos_loss_hn,avg_attr_pseudo_greedy_cos_loss_hn,std_obj_greedy_cos_loss_nodup,std_attr_greedy_cos_loss_nodup,std_obj_pseudo_greedy_cos_loss,std_attr_pseudo_greedy_cos_loss
20,,,1.0,,,,,,,,,,,,5.0,0.002291169948875904,458.0,0.9355807304382324,0.0006416717078536749,0.5524657964706421,-0.16678865253925323,-0.14088663458824158,-0.11447042226791382,-0.0702751874923706,0.2027905285358429,0.0038416385650634766,-0.006260275840759277,-0.0008888542652130127,-0.002014636993408203,0.004982680082321167,-0.005765050649642944,0.0038970112800598145,0.20704206824302673,0.1476341336965561,0.06980020552873611,0.07309205085039139,0.16073566675186157,0.081573985517025,0.12774430215358734,0.045536108314991,0.04244625195860863,0.008505810052156448,0.05425053462386131,0.022926824167370796,0.0004103169194422662,0.0012437968980520964,0.0001432146382285282,0.00035324753844179213,0.2013898640871048,0.090129055082798,0.12752826511859894,0.05405978485941887,0.0418417863547802,0.05006680265069008,0.043162815272808075,0.11741875112056732,0.007561333943158388,0.008556654676795006,0.0407157838344574,0.01759362407028675,0.00024114736879710108,0.0007219927501864731,0.00020317459711804986,0.0003153092984575778
21,,,1.0,,,,,,,,,,,,6.0,0.0020115270745009184,462.0,0.8940736055374146,0.0073052034713327885,0.5142173767089844,-0.12917685508728027,-0.10780461132526398,-0.07716849446296692,-0.03575066477060318,0.19447660446166992,-0.000732421875,0.0030826330184936523,-0.00192221999168396,0.001646965742111206,-0.0026589632034301758,-0.00729215145111084,-0.00662463903427124,0.18702611327171326,0.15228326618671417,0.09241534769535065,0.11553333699703217,0.1653292179107666,0.08264676481485367,0.17933620512485504,0.059202227741479874,0.043914832174777985,0.006057268939912319,0.06918938457965851,0.022095685824751854,0.00037336163222789764,0.0011039349483326077,0.00019451125990599394,0.00043229188304394484,0.18930040299892426,0.08947080373764038,0.17395246028900146,0.0757363811135292,0.043366655707359314,0.05017988756299019,0.0554560124874115,0.1212751567363739,0.009385691024363041,0.008611049503087997,0.04185407981276512,0.018268508836627007,0.00022352885571308434,0.0006521885516121984,0.00026975784567184746,0.0003522896731738001
22,,,1.0,,,,,,,,,,,,7.0,0.00166324432939291,499.0,0.9599668979644775,0.08026765286922455,0.6201651096343994,-0.20322740077972412,-0.168097123503685,-0.14207449555397034,-0.11128821969032288,0.29656922817230225,0.010638982057571411,-0.0031194686889648438,0.002608269453048706,-0.002660691738128662,-0.0028861165046691895,-0.007331490516662598,0.010975182056427002,0.1567206233739853,0.1139506846666336,0.052941981703042984,0.047372158616781235,0.1689244508743286,0.07120679318904877,0.094326913356781,0.027860645204782486,0.049279481172561646,0.010012220591306686,0.038780320435762405,0.01697673462331295,0.0003486699715722352,0.0008585264440625906,9.388137550558895e-05,0.00024153855338227004,0.16807886958122253,0.06911541521549225,0.09757951647043228,0.03578649461269379,0.050041891634464264,0.04146117344498634,0.036784227937459946,0.05058060958981514,0.013568947091698647,0.012613431550562382,0.02583184838294983,0.011296762153506279,0.0002455953508615494,0.0005045360303483903,0.00017125494196079671,0.00025819634902291
26,,,1.0,,,,,,,,,,,,18.0,0.0020364599768072367,499.0,0.9504517316818237,0.011489959433674812,0.5411295890808105,-0.15521393716335297,-0.1347014307975769,-0.10971947014331818,-0.06931265443563461,0.20809468626976013,0.006968408823013306,0.011236906051635742,0.012059956789016724,0.01350674033164978,-0.004145145416259766,0.0006586015224456787,0.0015359818935394287,0.1755455881357193,0.1296766847372055,0.051307596266269684,0.061059486120939255,0.16764594614505768,0.08525136113166809,0.1294056922197342,0.0534399151802063,0.04636166989803314,0.011635801754891872,0.0508200004696846,0.019310787320137024,0.0003797129029408097,0.0010491849388927221,0.00011431911116233096,0.0002473959175404161,0.18135765194892883,0.07983232289552689,0.1098114624619484,0.045466020703315735,0.043892014771699905,0.0506710410118103,0.03961413353681564,0.09190061688423157,0.007350755389779806,0.010084258392453194,0.034960415214300156,0.015352437272667885,0.00022754394740331918,0.0006146844825707376,0.00017346914683002979,0.0002652506227605045
46,,,,,1.0,,,,,,,,,,18.0,0.0028103876393288374,406.0,0.9121792316436768,0.018806589767336845,0.5771528482437134,-0.1578529179096222,-0.12553101778030396,-0.09941436350345612,-0.0649561658501625,0.2275419533252716,0.004538387060165405,-0.008690893650054932,-0.004153251647949219,-0.004548490047454834,-0.0036011040210723877,-0.0032026469707489014,2.09808349609375e-05,0.21845483779907227,0.18641851842403412,0.060559503734111786,0.08578518033027649,0.16147783398628235,0.08303193002939224,0.14064499735832214,0.05105629190802574,0.04639759287238121,0.00828553270548582,0.05896977335214615,0.02758094295859337,0.0004307963536120951,0.0014426709385588765,0.00014534752699546516,0.00045318203046917915,0.20685839653015137,0.11393708735704422,0.1250327080488205,0.06383547186851501,0.04088716208934784,0.04564446955919266,0.04542834684252739,0.10256316512823105,0.009262286126613617,0.008565929718315601,0.04512689262628555,0.019065922126173973,0.00024550658417865634,0.0008429669542238116,0.00019972918380517513,0.00037458655424416065
47,,,,,1.0,,,,,,,,,,19.0,0.0015649910783395171,475.0,0.9673781394958496,0.12079791724681854,0.5020852088928223,-0.17087745666503906,-0.1392388492822647,-0.11011920869350433,-0.07289443910121918,0.28850531578063965,-0.009972691535949707,0.007918626070022583,-0.0055588483810424805,-0.0035366415977478027,0.0027876198291778564,0.0054562389850616455,-0.0046589672565460205,0.15437079966068268,0.12997499108314514,0.05152105912566185,0.0422733873128891,0.1860259771347046,0.06877008825540543,0.08572539687156677,0.022520892322063446,0.05243610218167305,0.017268795520067215,0.03471248969435692,0.013900537975132465,0.0003620273491833359,0.0008818097412586212,0.00010770273365778849,0.0002896770020015538,0.17409861087799072,0.07958506047725677,0.0859370082616806,0.029540492221713066,0.058238036930561066,0.039159275591373444,0.0362960621714592,0.042239319533109665,0.014097604900598526,0.01759263686835766,0.02358170598745346,0.009397913701832294,0.0002639133599586785,0.0005249063251540065,0.00016236401279456913,0.00024603394558653235
48,,,,,1.0,,,,,,,,,,20.0,0.0023890850134193897,466.0,0.9499713778495789,0.04454590007662773,0.5650752782821655,-0.17115360498428345,-0.14236170053482056,-0.11802077293395996,-0.07637053728103638,0.24535781145095825,-0.0005688071250915527,0.0002708137035369873,-0.010847508907318115,-0.005853772163391113,0.004484266042709351,0.0015438497066497803,0.0006147623062133789,0.1559806764125824,0.13375666737556458,0.043640200048685074,0.04576254263520241,0.18471331894397736,0.08324981480836868,0.10902271419763565,0.046526629477739334,0.052723534405231476,0.013845286332070827,0.041640471667051315,0.01962871104478836,0.0003715435741469264,0.0010681861313059926,9.136298467637971e-05,0.0003167229879181832,0.18332530558109283,0.08353197574615479,0.09444066137075424,0.03694888576865196,0.04588828608393669,0.04880913719534874,0.03896022215485573,0.06556730717420578,0.007135010790079832,0.016733011230826378,0.02634655125439167,0.012839733622968197,0.0002498886315152049,0.0006015390972606838,0.00016180142119992524,0.0003058571310248226
67,,,,,,,1.0,,,,,,,,19.0,0.0026355129666626453,475.0,0.9546694755554199,0.006389286369085312,0.5498875379562378,-0.16241061687469482,-0.12803277373313904,-0.10288432240486145,-0.0655372217297554,0.2067931741476059,0.009830743074417114,0.0055498480796813965,0.005324691534042358,0.005833864212036133,-0.001797109842300415,0.00511401891708374,-0.004055023193359375,0.18897554278373718,0.14843083918094635,0.046178847551345825,0.0615171380341053,0.17983151972293854,0.08898121863603592,0.12385648488998413,0.04960788041353226,0.05470571294426918,0.012640729546546936,0.05293208733201027,0.026950204744935036,0.00044047198025509715,0.0013937040930613875,0.00011312175774946809,0.0003191295254509896,0.19796648621559143,0.09450102597475052,0.10692204535007477,0.048963092267513275,0.04584822803735733,0.048888977617025375,0.03947129473090172,0.09430170804262161,0.009410867467522621,0.011671370826661587,0.038592588156461716,0.01813838817179203,0.0002572878438513726,0.0008314743172377348,0.0001708790223347023,0.00029382924549281597
80,,,,,,,,,1.0,,,,,,5.0,0.0018688167911022902,416.0,0.9515284299850464,0.016216468065977097,0.5788472294807434,-0.15860995650291443,-0.12993502616882324,-0.10723142325878143,-0.0670282319188118,0.22587016224861145,-0.009233295917510986,0.004776716232299805,-0.011466443538665771,-0.009765982627868652,0.007340520620346069,-0.011261045932769775,-0.004913806915283203,0.19529663026332855,0.1303221732378006,0.045844268053770065,0.053104739636182785,0.14964593946933746,0.07463140040636063,0.10136628895998001,0.03758205845952034,0.04308885708451271,0.008283057250082493,0.0405413843691349,0.017388932406902313,0.0003978492459282279,0.001088559627532959,9.99846015474759e-05,0.00023198437702376395,0.18653962016105652,0.07891356199979782,0.09140939265489578,0.0389963760972023,0.038074642419815063,0.04573221132159233,0.032991062849760056,0.07371368259191513,0.006753592751920223,0.008383550681173801,0.028733666986227036,0.012850569561123848,0.00023495663481298834,0.0006337979575619102,0.0001432824064977467,0.00021724293765146285
93,,,,,,,,,,1.0,,,,,11.0,0.0018408134346827865,386.0,0.9529044032096863,-0.00520035345107317,0.5566543340682983,-0.1550588607788086,-0.12609758973121643,-0.09488271176815033,-0.049241527915000916,0.1992325484752655,0.003985106945037842,0.0030791163444519043,-0.00601506233215332,-0.007806718349456787,-0.0022000670433044434,-0.0009847581386566162,4.26173210144043e-05,0.1848188191652298,0.12742683291435242,0.053121570497751236,0.06724753230810165,0.16290123760700226,0.0721735805273056,0.1443665325641632,0.06330548971891403,0.049207430332899094,0.012100225314497948,0.05921401083469391,0.03287161514163017,0.0004353152762632817,0.001252586953341961,0.00011632140376605093,0.000371708651073277,0.18938198685646057,0.0815456360578537,0.11609309911727905,0.05628550425171852,0.04084523394703865,0.040244210511446,0.04944537952542305,0.11331919580698013,0.00873197615146637,0.011157899163663387,0.047233108431100845,0.021244307979941368,0.0002459848183207214,0.0007314083632081747,0.00020913664775434881,0.00036476177047006786
